Feature ID	Taxon
d05e0ff6cf994cc4c8d83e34f5605e38	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
c94d75f6e2a6e513b5b320174f1ac9d5	d__Bacteria; p__Firmicutes; c__Clostridia
5115fe2eac3e247d75e650fa78fba074	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group
a8c00ad73571977bf1aa2ed78e66b2e5	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcales-Tissierellales; g__Fenollaria
88fb3169d7d9359ad8b22d8458bb38cb	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
be5a171eec2cc1fd55bcc010d431cdda	d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_legallii
33943fa6491fcf3773d545dadf84e197	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__Campylobacter_hominis
316008baa970c26dda2571e7d77a8d5a	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella
5fd8f162437b7a4c8b12744266a4f464	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
5731e0cafa3d1311593cf891511e529c	d__Bacteria
5a4b5046a9940fde6254dd279adb5aa6	d__Bacteria
f753343e420bcbb5d722475348a4bb2b	d__Bacteria
165bb803b62670e5c88059d9a899b0e0	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
04f453a264f731d8feef3b8ec099dab8	d__Bacteria; p__Campilobacterota; c__Campylobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter
2f21dd3fc46de0f9397d7d4212d67751	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
fc22576bfd8af4f2c9187142c122e274	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_Thermoanaerobacterales
3921b8f98b8482b707108667e7610378	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_Thermoanaerobacterales
3dbb281e91e03417697f3a1ab48e3e32	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_Thermoanaerobacterales
034a948dd91fe85b34c1a0a8adf15ed3	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Subdoligranulum
8e07273901319128c926a664f43096b0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_Thermoanaerobacterales
578f4c3af0d8850991e8320d4397836a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_Thermoanaerobacterales
81aaf2eb46317ed545b203ef851f0ba6	d__Bacteria; p__Firmicutes; c__Clostridia
6a0d65b37d12a4ef802c6b8f37581ba3	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_bacterium
a258fdd6c9e235b25fbedaa8701b30b0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group
5cc99de1fc59b58ac93351c10d563598	d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_vadinBB60_group; f__Clostridia_vadinBB60_group; g__Clostridia_vadinBB60_group; s__uncultured_bacterium
cb6d227d6da26d1574e32e5264fd66cb	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
0b298ce4a738698cec2a92921c68de9d	d__Bacteria; p__Firmicutes; c__Clostridia
c7d8debd9ea15f3fe6580fe21989f50d	d__Bacteria; p__Firmicutes; c__Clostridia
3c1bd6480f653c0f208c5e6788cfe23c	d__Bacteria; p__Firmicutes; c__Clostridia
0118e63a9e102cfdd5cb0e2ec451d5ab	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__human_gut
de02aca01885ca93cc91b22bb3b6b87b	d__Bacteria
a414547ea6cb0f4edb6bbac7aeb6c5c8	d__Bacteria; p__Firmicutes; c__Clostridia
3633eff093ca6b2d5e42eb65bdee8e51	d__Bacteria; p__Firmicutes; c__Clostridia
41a46fbe8d81bb924842ef11f9d82113	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__human_gut
04e38e91b6efb8c819fc08b3111132eb	d__Bacteria; p__Firmicutes; c__Clostridia
fe1aefd409aeca65de441279c5526b1c	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
35c66c8363da05600e7142d01360084c	d__Bacteria; p__Firmicutes; c__Clostridia
581d1f33a8ccb2a5ad0b547257bd031c	d__Bacteria; p__Firmicutes; c__Clostridia
49bc294324ae9cffc737a3b4e12b3b48	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenellaceae_R-7_group
ae2b12e537145f4cabd77d000cb7a8be	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
2604f453267a968f832afbb6bf657377	d__Bacteria; p__Firmicutes; c__Clostridia
af7c55c3240ca884b0d2870f0fbefc25	d__Bacteria
150d5a49016505736a2f70d5feb1aad7	d__Bacteria; p__Firmicutes; c__Clostridia
2ebd1312e0633375e4d6ace7ca251fac	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae
d0113f3d3567f2cc81c0eed40bd80453	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__uncultured; s__uncultured_bacterium
85ef6f689d8076d34b97fd3fd52ef030	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__uncultured; s__uncultured_bacterium
2f39e3d3201d882dcb9a22f4e1a2aba7	d__Bacteria; p__Firmicutes; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__uncultured; s__uncultured_bacterium
